episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
413,1170.4,1079,1427,4,-1,120,395,7236176
414,4838.6,1600,61,5,-1,1610,395,7236624
415,5092.6,1748,62,19,-1,2255,395,7237224
416,5216.4,2705,1429,20,-1,1975,255,7240640
417,5007.8,1727,1053,21,-1,2425,320,7241472
418,5289.4,2034,1046,17,-1,2455,297,7242808
419,5145.6,4521,739,20,-1,2065,327,7248456
420,5178.4,1459,554,18,-1,2235,379,7248896
421,4898.8,1626,553,16,-1,2035,374,7249184
422,4963.8,1744,369,15,-1,2085,373,7250576
423,4718.8,1648,551,18,-1,2060,378,7253824
424,4938.2,1552,62,19,-1,2125,394,7255224
425,4905.4,3710,530,19,-1,2280,353,7256936
426,5056.4,2127,1221,14,-1,2620,290,7258488
427,4899.8,1274,552,19,-1,2170,376,7258648
428,4808.4,1274,78,14,-1,2140,395,7259376
429,4951.8,1496,546,23,-1,2205,375,7260864
430,5053.2,1492,776,18,-1,2215,360,7262512
431,4772.2,1368,745,17,-1,2085,369,7264768
432,1233.6,776,1834,4,-1,150,380,7264856
433,4311.2,1350,67,4,-1,2160,395,7266024
434,4879.6,1508,75,18,-1,2260,396,7269000
435,4720.2,1472,71,15,-1,1880,396,7271152
436,4964.2,1600,748,19,-1,1985,370,7271288
437,4547.4,1099,75,17,-1,2055,396,7271304
438,4980.4,1364,551,18,-1,2440,377,7271776
439,4543.4,1167,70,15,-1,1975,395,7275360
440,4972.6,1421,741,19,-1,2160,367,7276136
441,4891.2,1618,371,4,-1,1970,373,7277800
442,2324.2,959,2358,21,-1,460,362,7278824
443,4696.0,1348,527,18,-1,2410,370,7282560
444,4799.8,1647,551,7,-1,1725,370,7284464
445,5329.2,1940,740,22,-1,2245,357,7284520
446,4374.2,1401,68,5,-1,1740,396,7287344
447,4569.4,1524,69,19,-1,1745,395,7287552
448,1687.2,725,1309,16,-1,330,397,7290320
449,5238.8,1858,546,20,-1,2545,360,7293688
450,4977.2,2825,966,22,-1,2455,163,7293904
451,5014.8,1326,841,18,-1,2120,371,7295072
452,5184.4,1674,743,20,-1,2205,375,7295952
453,4742.0,1160,80,16,-1,2100,396,7296624
454,4853.2,1348,81,22,-1,2205,397,7298336
455,4939.8,1578,509,21,-1,2140,357,7302944
456,5111.6,1544,77,22,-1,2235,396,7307424
457,5446.6,1377,561,23,-1,2335,382,7307640
458,4880.0,1817,79,18,-1,1835,396,7308224
459,4525.2,3918,743,22,-1,2370,0,7309144
460,5177.0,1708,532,19,-1,2115,371,7309616
461,5176.4,1547,537,18,-1,2075,360,7310712
462,4745.2,1348,63,18,-1,2050,395,7313728
463,4843.0,1296,79,17,-1,2035,397,7319512
464,4747.4,1312,550,19,-1,2050,379,7320112
465,4951.8,1720,549,23,-1,2210,348,7321184
466,5141.8,1810,749,21,-1,2315,368,7322704
467,5057.8,2057,776,17,-1,2490,322,7324096
468,3879.8,3905,755,7,-1,1935,0,7325144
469,5227.0,2019,741,19,-1,2155,360,7326864
470,5181.8,1793,554,19,-1,2670,375,7328072
471,4700.0,1200,556,16,-1,2065,377,7329712
472,1483.2,604,1312,16,-1,330,396,7331696
473,4936.2,1535,750,19,-1,2140,351,7331792
474,5020.4,1474,68,18,-1,2650,396,7332976
475,4821.8,1310,353,17,-1,2060,379,7334576
476,5307.0,1552,742,19,-1,2235,370,7335120
477,5116.0,1553,966,26,-1,2465,339,7337568
478,5042.2,1525,727,19,-1,2325,358,7340272
479,4807.8,1349,509,17,-1,2195,373,7340504
480,4827.4,1333,68,17,-1,2055,396,7342360
481,5056.8,1266,66,16,-1,2095,395,7343104
482,5362.0,1828,545,18,-1,1895,378,7349200
